Index,File,Ext,Lines,Imports,Exports,FunctionSites,BrowserGlobalRefs,FindingCount,MaxScore,TopFinding,EvidenceLine,RequiredHardFix
354,bobercad/data/projects/sample_stair_winder.json,.json,22839,0,0,0,0,0,0,none,,
355,bobercad/data/projects/sample_trimming_lab.json,.json,1997,0,0,0,0,0,0,none,,
356,bobercad/data/projects/sample_warehouse_12x24.json,.json,72906,0,0,0,0,0,0,none,,
357,docs/architecture/app-architecture-audit.md,.md,87,0,0,0,0,0,0,none,,
358,docs/architecture/app-architecture-remediation-log.md,.md,150,0,0,0,0,0,0,none,,
359,docs/architecture/app-architecture-rescan-compact-table.md,.md,82,0,0,0,0,0,0,none,,
360,docs/architecture/data-model.md,.md,333,0,0,0,0,0,0,none,,
361,docs/architecture/folder-structure.md,.md,265,0,0,0,0,0,0,none,,
362,docs/decisions/0001-json-source-of-truth.md,.md,30,0,0,0,0,0,0,none,,
363,docs/exec-plans/active/0001-viewer-mvp.md,.md,50,0,0,0,0,0,0,none,,
364,docs/exec-plans/active/0002-authoring-patterns-and-nc1-data.md,.md,376,0,0,0,0,0,0,none,,
365,docs/exec-plans/active/0003-smart-component-generator-template-and-stair-system.md,.md,835,0,0,0,0,0,0,none,,
366,docs/exec-plans/active/0004-stair-system-visual-quality-and-variant-acceptance.md,.md,717,0,0,0,0,0,0,none,,
367,docs/exec-plans/active/0005-stair-gallery-qa-curved-members-and-reusable-connections.md,.md,52,0,0,0,0,0,0,none,,
368,docs/exec-plans/active/0006-unified-snapping-and-selection-manager.md,.md,832,0,0,0,0,0,0,none,,
369,docs/exec-plans/active/0007-professional-ui-design-system.md,.md,1082,0,0,1,0,0,0,none,,
370,docs/exec-plans/active/0008-tekla-killer-1-year-roadmap.md,.md,1148,0,0,0,0,0,0,none,,
371,docs/quality/code-removal-log.md,.md,18332,0,0,711,0,0,0,none,,
372,docs/quality/validation.md,.md,40,0,0,0,0,0,0,none,,
373,docs/workflows/codex-workflow.md,.md,53,0,0,0,0,0,0,none,,
374,docs/workflows/modeling-commands.md,.md,36,0,0,0,0,0,0,none,,
375,scripts/architecture_line_scan.js,.js,242,0,2,23,15,0,0,none,,
